Name,Manufacturer,Fs,Qts,Qes,Qms,Vas_l,Re,Le_mH,Sd_cm2,Xmax_mm,Pe,Bl,Mms_kg,Sensitivity,Cutout_mm,Mounting_depth_mm,Magnet_diameter_mm,Magnet_height_mm,Notes
GZNW 12Xmax,Ground Zero,35.6,0.61,0.67,6.815,13.6,1.8,1.28,452.0,17.5,3000,16.0,0.427,82.1,282,250,200,60,"Nuclear series high-excursion SPL subwoofer. Overall frame OD: 314 mm. Baffle cutout: 282 mm. Overall depth: 259 mm. Mounting depth: 250 mm. Flange: 9 mm. Weight: 24.0 kg. Klippel-optimized. Aluminum cone & dust cap. 4-layer Nomex spider. 75 mm / 3"" CCA round wire VC. Air gap HAG: 25 mm. VC winding height: 60 mm. Impedance: 2 x 1 Ohm. RMS: 3000 W / Peak: 6000 W. Cast aluminium basket. Recommended vented box: 40-60 L tuned ~30-35 Hz."
712f-D2,DD Audio,32.13,0.4749,0.5125,6.463,24.23,2.0,0.0,528.1,22.0,1500,0.0,0.0,0.0,288.9,228.6,192.1,101.6,"700-series daily/SPL 12"" with 3"" voice coil. Frame OD: 320.7 mm (w/ gasket: 327.0 mm). Cutout: 288.9 mm. Mounting depth: 228.6 mm. Motor OD: 192.1 mm. Motor depth: 101.6 mm. Woofer displacement: 0.17 cu ft (~4.8 L). Cast aluminum frame. Made in USA wire. Impedance: 2 x 2 Ohm. RMS: 1500 W / Peak: 4500 W. Xmech: 100 mm (peak-to-peak). Recommended ported box: 49-85 L net (1.75-3.0 cu ft)."
SA-12 v.3 D2,Sundown Audio,35.0,0.428,0.525,2.308,22.19,3.04,3.1785,452.4,22.0,1250,22.99,0.369747,84.05,284.5,213.4,0.0,0.0,"SA-series v.3 SQ/SPL hybrid. Outside diameter: 326.1 mm (12.84""). Cutout: 284.5 mm (11.2""). Depth: 213.4 mm (8.4""). Displacement: 0.18 cu ft (~5.1 L). Impedance: 2 x 2 Ohm. RMS: 1250 W / Peak: 3000 W. BL: 22.99 Tm. Mms: 369.7 g. Le: 3.18 mH. Well-suited for vented alignment QB3/B4. Sealed: ~28.3 L (1.0 cu ft). Ported: ~49.6 L (1.75 cu ft) tuned ~35 Hz, port area ~167 cm2."
